driverId,week,hours-logged,miles-logged
640,48,74,3100
303,31,79,3400
712,41,52,1600
317,48,61,600
771,16,78,800
219,42,76,3600
760,27,78,400
988,49,76,2800
571,52,52,1500
428,15,54,1200
770,10,79,1800
204,46,64,1000
602,12,53,2000
397,33,80,2100
461,23,65,1000
340,48,74,2800
643,28,55,3000
33,32,78,2300
274,32,52,1500
338,41,65,2000
262,9,65,3900
521,37,80,500
637,11,69,3800
219,45,77,3600
80,32,50,700
772,26,61,500
208,32,64,1000
37,14,80,3500
145,4,72,1500
130,7,50,1300
542,18,74,2900
574,22,73,300
293,14,65,2200
343,12,72,1100
914,47,63,2200
1008,14,57,1600
829,36,70,2900
348,28,77,3600
229,36,74,2100
997,20,72,2600
763,36,73,0
719,42,65,4000
71,14,52,300
632,15,58,3000
447,2,76,2500
382,8,51,3400
609,25,77,4000
618,30,51,2500
119,24,69,3800
362,26,53,700
455,18,52,3600
431,35,77,2600
271,2,57,1900
695,9,69,3000
1005,40,73,3700
586,16,66,1800
965,45,76,500
261,49,79,1200
132,21,69,700
177,12,78,3000
147,19,60,700
268,23,73,2700
451,52,77,800
948,48,50,400
220,27,80,2100
922,2,61,700
479,50,66,2100
881,23,64,3500
801,3,54,4000
473,40,77,3800
707,13,54,3200
120,14,79,3600
741,2,68,400
815,46,56,3800
754,18,51,100
545,4,78,1000
999,33,50,1400
939,8,60,3000
129,47,59,3500
537,9,53,1400
898,43,64,500
91,28,57,1100
975,31,80,2300
192,28,54,3300
786,23,60,2400
583,5,79,1200
141,23,75,3500
671,1,64,3900
334,47,70,3000
321,43,77,2500
581,6,69,2500
323,51,56,1600
767,52,65,1200
1006,51,59,2800
923,27,54,1600
550,7,75,1300
325,3,65,1300
473,23,54,3300
496,31,60,2800
955,11,75,2000
246,35,62,1400
620,27,78,800
963,25,53,2900
311,51,64,2400
12,37,55,2000
817,19,66,4000
793,21,53,2700
496,23,66,3300
69,51,80,2700
264,16,70,1300
839,48,62,1400
470,7,50,1500
449,3,59,2000
225,46,59,900
579,17,54,800
845,39,55,2800
957,10,65,1300
717,18,65,2900
514,48,59,3800
764,1,52,700
745,47,53,2200
846,28,51,900
905,26,53,1600
401,39,54,2400
11,3,61,700
648,38,65,2400
501,1,75,0
520,33,60,2600
928,29,76,1600
990,28,79,3000
212,45,67,3100
991,52,67,3600
17,14,61,2800
935,11,64,600
600,13,58,3900
496,9,74,3500
801,4,50,0
508,39,63,3100
867,51,70,400
875,39,68,2600
214,33,54,3800
475,35,52,3600
338,34,51,3300
253,16,54,400
265,31,58,800
419,35,54,3900
450,27,74,1900
964,38,59,1600
520,2,61,3600
482,51,65,0
439,30,67,100
21,47,60,700
533,17,59,2400
606,23,67,3300
253,51,60,1700
596,45,78,2200
341,51,67,1900
446,1,51,700
830,20,50,2600
972,1,51,1000
190,2,61,1000
862,45,53,2400
97,19,57,1300
444,43,79,3700
340,41,69,2600
70,47,75,1300
310,22,66,3000
823,19,71,500
737,22,78,3900
261,6,76,3000
948,22,60,3300
382,3,68,1500
464,48,74,900
213,52,55,2600
506,4,78,1700
527,28,74,2000
814,38,79,3000
274,5,70,1300
908,23,52,1400
363,52,68,3700
153,7,79,0
624,51,75,800
463,40,63,700
820,4,67,200
410,23,57,200
420,9,70,900
193,21,65,200
985,25,67,1400
555,26,74,300
701,40,59,2300
674,9,72,3200
88,26,66,1800
641,10,62,1900
315,30,72,600
280,20,74,2800
409,10,80,1900
55,34,62,3200
828,7,64,600
264,32,60,1000
555,46,61,1000
819,22,58,1500
49,41,51,3400
660,52,80,1500
388,14,68,3200
